,Name,Tamanho,Otimo,Chris_Cost,Chris_Ratio,TAtT_Cost,TAtT_Ratio,Chris_Time,TAtT_Time,Chris_Space,TAtT_Space
0,eil51,51,426,607.0213502146175,1.4249327469826703,626.337290790307,1.4702753304936782,0.6265289783477783,0.01,3.344,3.344
1,berlin52,52,7542,9142.320919924074,1.2121878705812879,10116.014495510826,1.3412907047879643,0.1193909645080566,0.01,3.376,3.376
2,st70,70,675,926.496885519838,1.372587978547908,873.3514856717352,1.293854052847015,0.1069819927215576,0.11,25.745,25.745
3,eil76,76,538,702.8628561584578,1.3064365356105163,703.6351597441984,1.3078720441341978,0.1397409439086914,0.05,185.414,185.414
4,pr76,76,108159,129685.6501811681,1.199027821828679,145338.11445183848,1.3437449907251222,0.0911250114440918,0.03,48.96,48.96
5,rat99,99,1211,1589.3158410438923,1.3123995384342628,1717.2816970707845,1.41806911401386,0.1722187995910644,0.09,94.832,94.832
6,kroA100,100,21282,30273.36694969382,1.4224869349541311,27211.67972921635,1.2786241767322784,0.2305788993835449,0.07,93.024,93.024
7,kroB100,100,22141,26947.756548971447,1.2170975361985208,25881.199893685625,1.1689264212856523,0.1536629199981689,0.05,107.6,107.6
8,kroC100,100,20749,29259.16849372237,1.4101483682935259,27966.54136375163,1.3478500825944204,0.1870601177215576,0.05,106.52,106.52
9,kroD100,100,21294,28109.388275897018,1.320061438710295,27113.29664042698,1.2732833962819095,0.1810669898986816,0.05,104.48,104.48
10,kroE100,100,22068,30277.539771047057,1.372011046358848,30507.41904682348,1.3824279067801106,0.2404549121856689,0.05,89.52,89.52
11,rd100,100,7910,11090.702775599391,1.402111602477799,10791.655815950702,1.3643054128888372,0.2930541038513183,0.09,102.48,102.48
12,eil101,101,629,896.1787881230491,1.4247675486852927,832.2217964254476,1.323087116733621,0.2509729862213135,0.05,110.568,110.568
13,lin105,105,14379,20685.71160348751,1.438605716912686,20044.57150291655,1.394017073712814,0.1511781215667724,0.07,94.742,94.742
14,pr107,107,44303,57503.041524445405,1.2979491574937454,54238.03661175547,1.2242520057728703,0.1398317813873291,0.0652799606323242,185.539,185.539
15,pr124,124,59030,80260.36922036178,1.3596538915866812,75177.53713664762,1.2735479779205086,0.1560738086700439,0.08,125.24,125.24
16,bier127,127,118282,143640.12505347707,1.2143870162279726,157605.7627833088,1.3324577094004904,0.4705300331115722,0.09,98.808,98.808
17,ch130,130,6110,7851.976758103907,1.2851025790677426,8128.757281130948,1.3304021736711864,0.2771828174591064,0.1,131.454,131.454
18,pr136,136,96772,127094.10997432534,1.3133355720076607,151913.74200165656,1.5698109163978895,0.1307590007781982,0.1,112.328,112.328
19,pr144,144,58537,66959.303041209,1.1438799911373831,80596.32004796875,1.3768440481741249,0.1454808712005615,0.14,130.23,130.23
20,ch150,150,6528,8645.60492597581,1.3243880094938434,8333.472170089168,1.2765735554670907,0.3172600269317627,0.13,142.422,142.422
21,kroA150,150,26524,37408.47341651153,1.4103631962189538,35122.56680105931,1.3241806213640215,0.6769568920135498,0.13,141.782,141.782
22,kroB150,150,26130,35174.34995660323,1.3461289688711533,36154.73394030785,1.3836484477729756,0.7737948894500732,0.11,143.438,143.438
23,pr152,152,73682,112042.72898954652,1.5206255121949257,92021.7138420434,1.248903583535238,0.1671187877655029,0.13,155.192,155.192
24,u159,159,42080,55714.89113564183,1.3240230783184845,58292.50842435215,1.3852782420235776,0.4591391086578369,0.2,142.526,142.526
25,rat195,195,2323,2908.381466773405,1.2519937437681468,3329.6659014343,1.4333473531787775,0.754960298538208,0.2,148.696,148.696
26,d198,198,15780,21607.76081372729,1.3693131060663684,19161.209417048813,1.2142718261754635,1.223893165588379,0.23,161.742,161.742
27,kroA200,200,29368,42699.49541349717,1.4539463161773758,40030.86635119212,1.363077715581317,1.376935958862305,0.24,154.628,154.628
28,kroB200,200,29437,38978.906995041165,1.3241467199456862,40710.95987899587,1.3829860338688,1.033339262008667,0.2272098064422607,157.336,157.336
