Name,Val,time,space
pr439.tsp,146846.6506092363,8.82,195056.0
rd100.tsp,10791.655815950702,0.09,102480.0
rl5934.tsp,842363.5317887756,798.65,269048.0
pcb442.tsp,69762.39674204763,1.34,165274.0
u2319.tsp,405732.6557932765,29.94,184296.0
gil262.tsp,3358.1541767582894,0.41,157598.0
pcb3038.tsp,196718.24358220736,66.37,231544.0
lin105.tsp,20044.57150291655,0.07,94742.0
fl417.tsp,16299.72614958688,0.99,166704.0
tsp225.tsp,5134.281989396211,0.28,149512.0
fl1400.tsp,27825.070536374555,14.14,204456.0
nrw1379.tsp,79156.2650653691,12.83,204128.0
d2103.tsp,140961.1078959783,31.83,212480.0
kroA150.tsp,35122.56680105931,0.13,141782.0
pcb1173.tsp,80728.18863419454,8.48,206624.0
d198.tsp,19161.209417048813,0.23,161742.0
fl1577.tsp,32026.55301436519,18.62,211544.0
ch130.tsp,8128.757281130948,0.1,131454.0
kroB100.tsp,25881.199893685625,0.05,107600.0
u1060.tsp,303084.36154874734,7.89,202952.0
berlin52.tsp,10116.014495510826,0.01,3376.0
eil51.tsp,626.337290790307,0.01,3344.0
rl1304.tsp,350894.10127275786,12.1,206576.0
u2152.tsp,101570.27112887488,33.12,208872.0
u724.tsp,57934.088827179134,2.94,169120.0
kroD100.tsp,27113.29664042698,0.05,104480.0
linhp318.tsp,59334.95440474816,0.57,159874.0
pr299.tsp,64573.23371762577,0.49,160232.0
rd400.tsp,20250.376744292647,0.9,166359.0
vm1084.tsp,314321.65542920964,8.69,200784.0
rat575.tsp,9425.889324223228,1.87,168062.0
d1655.tsp,87803.08156454594,19.88,207072.0
ch150.tsp,8333.472170089168,0.13,142422.0
d15112.tsp,,1800.0,
pr107.tsp,54238.03661175547,0.0652799606323242,185539.0
kroB200.tsp,40710.95987899587,0.2272098064422607,157336.0
brd14051.tsp,,1800,
a280.tsp,3751.398844000169,0.45,184347.0
d1291.tsp,80210.59377217208,10.4,202256.0
pr264.tsp,70613.7888411385,0.41,158918.0
pr76.tsp,145338.11445183848,0.03,48960.0
d493.tsp,45571.71848892038,1.76,192632.0
pr136.tsp,151913.74200165656,0.1,112328.0
rat195.tsp,3329.6659014343,0.2,148696.0
rl11849.tsp,,1800,
kroA100.tsp,27211.67972921635,0.07,93024.0
kroB150.tsp,36154.73394030785,0.11,143438.0
bier127.tsp,157605.7627833088,0.09,98808.0
kroC100.tsp,27966.54136375163,0.05,106520.0
usa13509.tsp,,1800,
eil76.tsp,703.6351597441984,0.05,185414.0
pr124.tsp,75177.53713664762,0.08,125240.0
rl1323.tsp,384134.4512578047,11.41,211544.0
p654.tsp,49620.10587707909,2.63,193071.0
rl1889.tsp,449335.90756593214,23.24,216920.0
d657.tsp,65730.19370040316,2.44,168815.0
eil101.tsp,832.2217964254476,0.05,110568.0
fnl4461.tsp,254728.162196642,163.15,239664.0
pr2392.tsp,526143.6307754437,38.09,220576.0
rat783.tsp,12067.602998246572,3.4,170576.0
ts225.tsp,196979.27842963857,0.29,150344.0
u1432.tsp,222340.33979095667,12.7,200864.0
u1817.tsp,89396.09895070497,22.94,208656.0
lin318.tsp,59334.95440474816,0.6,159990.0
d18512.tsp,,1800,
rl5915.tsp,858988.7277412643,972.29,276200.0
st70.tsp,873.3514856717352,0.11,25745.0
rat99.tsp,1717.2816970707845,0.09,94832.0
fl3795.tsp,40756.44806515285,151.08,268488.0
u159.tsp,58292.50842435215,0.2,142526.0
kroA200.tsp,40030.86635119212,0.24,154628.0
u574.tsp,49086.37285729394,1.85,167600.0
pr1002.tsp,351387.2202433054,5.51,171584.0
pr152.tsp,92021.7138420434,0.13,155192.0
pr226.tsp,115264.0126646197,0.3,155248.0
vm1748.tsp,445935.551642111,25.72,236760.0
pr144.tsp,80596.32004796875,0.14,130230.0
kroE100.tsp,30507.41904682348,0.05,89520.0
