,Name,Val,time,space
0,a,0.0,0.0,0.0
1,pr439.tsp,146846.6506092363,8.82,195056.0
2,rd100.tsp,10791.655815950702,0.09,102480.0
3,rl5934.tsp,842363.5317887756,798.65,269048.0
4,pcb442.tsp,69762.39674204763,1.34,165274.0
5,u2319.tsp,405732.6557932765,29.94,184296.0
6,gil262.tsp,3358.1541767582894,0.41,157598.0
7,pcb3038.tsp,196718.24358220736,66.37,231544.0
8,lin105.tsp,20044.57150291655,0.07,94742.0
9,fl417.tsp,16299.72614958688,0.99,166704.0
10,tsp225.tsp,5134.281989396211,0.28,149512.0
11,fl1400.tsp,27825.070536374555,14.14,204456.0
12,nrw1379.tsp,79156.2650653691,12.83,204128.0
13,d2103.tsp,140961.1078959783,31.83,212480.0
14,kroA150.tsp,35122.56680105931,0.13,141782.0
15,pcb1173.tsp,80728.18863419454,8.48,206624.0
16,d198.tsp,19161.209417048813,0.23,161742.0
17,fl1577.tsp,32026.55301436519,18.62,211544.0
18,ch130.tsp,8128.757281130948,0.1,131454.0
19,kroB100.tsp,25881.199893685625,0.05,107600.0
20,u1060.tsp,303084.36154874734,7.89,202952.0
21,berlin52.tsp,10116.014495510826,0.01,3376.0
22,eil51.tsp,626.337290790307,0.01,3344.0
23,rl1304.tsp,350894.10127275786,12.1,206576.0
24,u2152.tsp,101570.27112887488,33.12,208872.0
25,u724.tsp,57934.088827179134,2.94,169120.0
26,kroD100.tsp,27113.29664042698,0.05,104480.0
27,linhp318.tsp,59334.95440474816,0.57,159874.0
28,pr299.tsp,64573.23371762577,0.49,160232.0
29,rd400.tsp,20250.376744292647,0.9,166359.0
30,vm1084.tsp,314321.65542920964,8.69,200784.0
31,rat575.tsp,9425.889324223228,1.87,168062.0
32,d1655.tsp,87803.08156454594,19.88,207072.0
33,ch150.tsp,8333.472170089168,0.13,142422.0
34,d15112.tsp,,1800.0,
35,pr107.tsp,54238.03661175547,0.0652799606323242,185539.0
36,kroB200.tsp,40710.95987899587,0.2272098064422607,157336.0
37,brd14051.tsp,,,
